,Id,Slug,Url,HasTravis,HasCircle,NumPrs,NumComments
6909,63004890,conda-forge/setuptools-feedstock,https://api.github.com/repos/conda-forge/setuptools-feedstock,False,True,102.0,208.0
6946,18967515,MihaiValentin/lunr-languages,https://api.github.com/repos/MihaiValentin/lunr-languages,False,True,21.0,29.0
6987,51556828,docker/swarmkit,https://api.github.com/repos/docker/swarmkit,False,True,1281.0,6930.0
6990,64931804,conda-forge/sphinx-feedstock,https://api.github.com/repos/conda-forge/sphinx-feedstock,False,True,53.0,110.0
6994,22997468,conduit/conduit-suretax,https://api.github.com/repos/conduit/conduit-suretax,False,True,33.0,27.0
6997,56622300,istresearch/phantom-snap,https://api.github.com/repos/istresearch/phantom-snap,False,True,17.0,3.0
6999,26809309,sue445/ccc_privacy_crawler,https://api.github.com/repos/sue445/ccc_privacy_crawler,False,True,226.0,75.0
7011,55277533,stripe/veneur,https://api.github.com/repos/stripe/veneur,False,True,569.0,1896.0
7066,53109471,globality-corp/microcosm-logging,https://api.github.com/repos/globality-corp/microcosm-logging,False,True,40.0,46.0
7106,21872608,codacy/bitbucket-scala-client,https://api.github.com/repos/codacy/bitbucket-scala-client,False,True,46.0,38.0
7126,28203745,transitland/www-transit-land,https://api.github.com/repos/transitland/www-transit-land,False,True,235.0,67.0
7143,71034081,havardh/javaflow,https://api.github.com/repos/havardh/javaflow,False,True,63.0,25.0
7184,63452643,conda-forge/mss-feedstock,https://api.github.com/repos/conda-forge/mss-feedstock,False,True,53.0,123.0
7250,45499109,cloud-elements/devportal,https://api.github.com/repos/cloud-elements/devportal,False,True,509.0,48.0
7270,59434469,srobo/website,https://api.github.com/repos/srobo/website,False,True,100.0,142.0
7272,19723749,ToxicBakery/ViewPagerTransforms,https://api.github.com/repos/ToxicBakery/ViewPagerTransforms,False,True,22.0,27.0
7281,26163430,exomiser/Exomiser,https://api.github.com/repos/exomiser/Exomiser,False,True,16.0,58.0
7293,68985318,y-yagi/jpcal,https://api.github.com/repos/y-yagi/jpcal,False,True,103.0,1.0
7363,1145832,pry/pry,https://api.github.com/repos/pry/pry,False,True,714.0,1776.0
7366,40736488,jszwedko/go-circleci,https://api.github.com/repos/jszwedko/go-circleci,False,True,28.0,46.0
7474,27787756,aurelia/logging,https://api.github.com/repos/aurelia/logging,False,True,30.0,39.0
7476,8654828,j256/ormlite-core,https://api.github.com/repos/j256/ormlite-core,False,True,62.0,120.0
